,1 Mini Photo Session,$120,$50,$10,Kelsey Atherton,"Included in mini-session: 30 minutes in 1 location, up to 7 people, 10 digital edits.Kelsey Atherton is a professional portrait photographer based out of Utah Country. Having spent 4 years intensively studying this medium, her style has been refined to preserve beauty in both candid and structured shoots. From weddings to newborns, her work magnifies a unique, timeless quality that is suitable for any family or person."
,5 Custom Soaps,$15,$6,$2,Lani Blood,"
The ultimate hydrating soap- made with fresh goat milk and nutrient-rich oils.  Your skin is your body's largest organ! Love your skin one bar at a time. 

Includes 5 Bars of soap, 1 of each of the following scents:
-Tangerine Spice
-Citrus Mint
-English Garden
-Sweet Orange
-Vienna Rose"
,A Month of Dinner Dates,$150,$60,$15,"Cubby—Chipotle-WaffleLove, SmashBurger","Need date-night ideas?  How about trying a new place to eat each week for a month? A Month of Dinner Dates includes:-$50 to Cubby's Chicago Beef-Dinner for 4 at Chipotle Mexican Grill*(4 entrées, chips and guac., & fountain drinks)-$25 To Waffle Love-2 Free Entrees at Smash Burger**-5 @ $5 off coupons at Olive Garden****Expires 31 December 2018**With next purchase. Expires 30 June 2018***Valid until 31 January 2019"
,African Shoulder Bag,$25,$10,$2,Edward & Jaycene Soper,"This shoulder bag was manufactured in the Days for Girls sewing center in Ghana, Africa. Each bag is handmade by a sewing center employee who regularly sews reusable feminine hygiene kits to help young women of Ghana stay healthy and stay in school."
,Baby Essentials Gift Basket,$25,$10,$2,Persida Samson,The perfect basket to welcome a new little one into this world. Includes: -Huggies Snug & Dry Diapers (34 Size 3 Diapers) -Johnson's Baby Moisture Wash -Johnson-s Head-to-toe Baby Wash -Johnson's Baby Shampoo -Johnson's Baby Bubble Bath -Huggies Wipes -Big Bird Sippy Cup -Big Bird Wipe Holder -Squishy Mickey Mouse Head
,Baby Headbands,$30,$12,$2,Laetitia Carr,"Two darling baby headbands from LM&O Apparel's ""Why Knot"" collection. LM&O Apparel's mission is to come up with designs that solve annoying things that happen with baby clothing. These head wraps won't fall in front of baby's eyes while in the car seat or stroller, leave no marks on the head, and baby and mommy can have a safe and enjoyable drive."
,Baby Quilt,$150,$60,$10,Carrie Prince,This custom hand-quilted baby blanket includes retro fabrics and patterns from the 1930s. The colors blend to create a sweet and inviting look and is quilted with batting that makes it suitable year round. This quilt is the perfect size for a tummy time or wall hanging -- a perfect gift for that sweet baby you love so much!
,Ballet West,$120,$50,$10,Ballet West,"Included:  2 Ticket Vouchers good for one                                            performance of:                National Choreographic Festival                  May 18th, 19th, 25th or 26thJoin Ballet West and several of America's most esteemed ballet companies over two weekends as we celebrate new works from around the country.  Experience this unprecedented event with two different programs in the new Eccles Theater, which will feature world premieres by Nicolo Fonte and Val Caniparoli for Ballet West."
,Benchmade Knife Kit,$180,$70,$10,Blade HQ,"This Blade HQ Benchmade knife kit will not disappoint! Use the knife holder to organize your collection. The 531 Pardue is ultra-lightweight and very thin, you'll hardly even know it's in your pocket. The black and gray herringbone pattern G-10 handle helps keep the knife's weight down but maintains its durability. The AXIS lock, dual thumb studs and reversible pocket clip make the knife usable for right and left handers. Blade length: 3.25""Knife length: 7.24"""
,BYU Basketball,$150+,$100,$10,Andrew May,Signed BYU Basketball
,Chipotle Mexican Grill,$50,$20,$5,Chipotle,Enjoy a tasty meal with friends with this                                  super-awesome voucher* for:                             DINNER FOR FOURIncludes: -4 Entrées -Orders of Chips & Guacamole-Regular Fountain Drinks*Expires 31 December 2018
,Chocolate Tasting,$40,$15,$5,Taste Provo,"These tickets are good for two Friday night chocolate tastings. Our tastings are great for your first date, your 10,000th, or a great way to spend time with friends and family.Note: You must make reservations, so be sure to contact Taste Provo for when you'd like to get your chocolate on!"
,Coconut Cove,$85,$35,$5,Coconut Cove,"Included: 10 Passes to Coconut Cove*Bring your kids and enjoy all the fun of Utah County's very own Coconut Cove.  Test your aim with the Ball Cannons and Ball Fountains. Let your younger ones play in the toddler area, away from all of the bigger kids. Enjoy racing together down the Racing Wavy Slides. Let your kids jump and bounce on the Padded Kid Trampolines.  Be it Birthday Party, Play Date, or special surprise, your day at Coconut Cove is sure to please!    Located at 496 E 1750 N, Suite C in Vineyard                           *Expires 06/30/2018"
,Coffee Table by Calico Slate,$375,$160,$20,Calico Slate,"These welded steel bases have been shod with oak feet. The all-oak tops are set at a height to function as coffee tables, benches, or end tables."
,Coldwater Creek XL Swim Cover,$65,$15,$5,Edward & Jaycene Soper,Coldwater Creek XL Swimsuit Cover
